nuncira	nuncira (1)(1.0): nuncira
brigaldo	brigaldo, brijaldo (3)(0.75): brigaldo, brijaldo, grimaldo
flechas	flechas, flechaz (2)(0.8571428656578064): flechas, flechaz
roa	rosa (4)(0.7750000059604645): roa, rojsa, rosa, rosas
embus	embus (1)(1.0): embus
leiva	leiva, neiva (2)(0.800000011920929): leiva, neiva
lemos	lemus (6)(0.800000011920929): lamus, lemos, lemus, lemuz, lenus, lumus
goyeneche	goyenche, goyeneche (2)(0.8888888955116272): goyenche, goyeneche
celia	celia (5)(0.800000011920929): celi, celia, celis, celiz, delia
mantaña	mantaña, montaña (2)(0.8571428656578064): mantaña, montaña
paniagua	paniagua (1)(1.0): paniagua
livano	livano (5)(0.8015873034795126): liano, libano, lievano, livano, lizcano
meza	mera, meta, meza (3)(0.75): mera, meta, meza
llach	lach (3)(0.800000011920929): lach, lache, llach
guatiboza	guatibonza (3)(0.8999999761581421): guatibonza, guatiboza, guativonza
cuero	cuervo (4)(0.8333333134651184): cuero, cuervo, cuevo, curvo
barbosa	barbosa (1)(1.0): barbosa
avalleneda	avellaneda (6)(0.8499999940395355): acellaneda, avalleneda, avelladena, avellanada, avellaneda, avellneda
iguavita	guavita (4)(0.8660714328289032): guaita, guavita, iguavita, suavita
españoal	español (4)(0.7946428656578064): españa, españoal, español, española
mendienta	mendieta (4)(0.8819444477558136): endieta, mendiata, mendienta, mendieta
fonnegra	fonegra, fonnegra (2)(0.875): fonegra, fonnegra
ulrike	ulrike (1)(1.0): ulrike
tobos	tobos (5)(0.800000011920929): cobos, tobo, tobon, tobos, toros
bersinger	bersinger (1)(1.0): bersinger
lopez	lopez (4)(0.8166666626930237): loopez, lopaz, lopez, opez
zua	zua (1)(1.0): zua
quuiroz	quiroz (5)(0.7574404776096344): quiroga, quiros, quiroz, quuiroga, quuiroz
saboya	sabogal, saboya (2)(0.7142857313156128): sabogal, saboya
leguizamo	leguizamon (6)(0.8499999940395355): legizamo, legizamon, leguizamo, leguizamon, leguzamon, lequizamon
pinedea	pinedea (3)(0.7857142984867096): pineda, pinedea, piñedez
pasuca	sipasuca, zipasuca (3)(0.75): pasuca, sipasuca, zipasuca
tunarrosa	tunarrosa, tunarroza (4)(0.8333333432674408): tunarosa, tunaroza, tunarrosa, tunarroza
dousdebes	dousdebes (1)(1.0): dousdebes
menjuren	menjure (3)(0.8660714328289032): menjura, menjure, menjuren
gutirrez	gutierrez (11)(0.8555555542310079): gitierrez, guierrez, guitierrez, gurtierrez, gutieeres, gutierez, gutierreez, gutierres, gutierrez, gutirrez, guutierrez
estepa	esteban, estepa (2)(0.7142857313156128): esteban, estepa
baquero	baquero, baqueron (2)(0.875): baquero, baqueron
corredop	corredor (7)(0.8379629651705424): coredor, corrdedor, corredin, corredo, corredop, corredor, correo
ramos	mramos, ramos (2)(0.8333333134651184): mramos, ramos
obregoso	obregon, obregoso (2)(0.75): obregon, obregoso
mayorga	matorga, mayorga (2)(0.8571428656578064): matorga, mayorga
segunda	segura (3)(0.8452380895614624): segua, seguera, segura
endieta	mendieta (4)(0.8819444477558136): endieta, mendiata, mendienta, mendieta
gereda	gereda (1)(1.0): gereda
cacinero	cocinero (3)(0.875): cacinero, cocinero, cocunero
tique	fique, tique (2)(0.800000011920929): fique, tique
larotta	larrota (6)(0.8154761989911398): larota, larotta, larrota, larrotta, larrotya, lorrota
pachon	pachon (3)(0.7738095223903656): canchon, pacho, pachon
claderon	calderon (4)(0.8379629651705424): caldero, calderon, cañlderon, claderon
cabarcas	cabarcas, caracas (2)(0.75): cabarcas, caracas
turca	turca, turga (2)(0.800000011920929): turca, turga
clopatosky	clopatosky (1)(1.0): clopatosky
casas	casas (4)(0.800000011920929): cabas, casa, casas, cañas
tividor	tibidor, tividor (2)(0.8571428656578064): tibidor, tividor
memdoza	mendoza (9)(0.8660714328289032): mandoza, medoza, memdoza, mendosa, mendoza, menoza, mjendoza, mondoza, nendoza
jose	jose (1)(1.0): jose
pompeyo	pompeyo (1)(1.0): pompeyo
carranza	carranza (4)(0.8379629651705424): barraza, carranza, carranzqa, carvanza
escudero	escudero (1)(1.0): escudero
torrez	torres (6)(0.8452380895614624): storres, torre, torres, torresa, torrez, torrres
noreña	noriega (3)(0.7857142984867096): noreña, noriega, noriego
matoma	matorga (3)(0.7857142984867096): matoma, matorga, mayorga
nova	nova (1)(1.0): nova
meche	mecha, meche (2)(0.800000011920929): mecha, meche
alrcon	alarcon (8)(0.8154761989911398): alalrcon, alarccon, alarco, alarcon, alarion, alercon, alrcon, arcon
quincho	quinche, quincho (2)(0.8571428656578064): quinche, quincho
vilbuena	valbuena (6)(0.875): balbuena, calbuena, vabuena, valbuena, valvuena, vilbuena
francica	fracica (5)(0.8154761989911398): faracica, fracica, francia, francica, frasica
badillo	badillo (1)(1.0): badillo
bercerra	becerra (8)(0.8154761989911398): bacerra, becarra, beccera, beccerra, becera, becerra, becerrra, bercerra
giron	giron (1)(1.0): giron
sanches	sanchez (10)(0.8660714328289032): anchez, saanchez, sanachez, sanche, sanchea, sanches, sanchez, sanchezs, sanhez, zanchez
ricaurte	ricaurte (3)(0.8819444477558136): ricaurte, ricaute, ricuaurte
usma	usma (1)(1.0): usma
ceferino	ceferino (1)(1.0): ceferino
ballesteros	ballestero, ballesteros (2)(0.9090908765792847): ballestero, ballesteros
pacheca	pacheca (4)(0.7857142984867096): pacheca, pacheco, pachila, sachica
gantivar	gantiva, gantivar (2)(0.875): gantiva, gantivar
roncallo	roballo, roncallo (2)(0.75): roballo, roncallo
cote	cote, lote, pote (3)(0.75): cote, lote, pote
cante	cante, cantero (2)(0.7142857313156128): cante, cantero
mendosa	mendoza (4)(0.8660714328289032): mendosa, mendoza, menoza, mjendoza
arateco	arateca, arateco (2)(0.8571428656578064): arateca, arateco
rabello	abello, rabello (2)(0.8571428656578064): abello, rabello
baez	baez, caez, paez, saez (4)(0.75): baez, caez, paez, saez
rengifo	rengifo (1)(1.0): rengifo
tocasuche	tocasuche (1)(1.0): tocasuche
tocaria	tobaria, tocaria, tovaria (3)(0.8571428656578064): tobaria, tocaria, tovaria
gamma	gamba (4)(0.8166666626930237): gama, gamba, gamboa, gamma
zabaleta	zabala (3)(0.7916666567325592): zabala, zabaleta, zavala
ibanez	ibañez (3)(0.8333333134651184): ibanez, ibañes, ibañez
guerin	guarin (3)(0.8452380895614624): guarain, guarin, guerin
betancort	betancourt (7)(0.8696969548861185): betancort, betancour, betancourt, betancourth, betancur, betancurt, betancuurt
yemayusa	yomayusa (4)(0.875): yamayusa, yemayusa, yomayusa, yomayuza
siaucho	siahucho, siaucho (2)(0.875): siahucho, siaucho
gpmez	gamez, gmez, gomez, gpmez (4)(0.800000011920929): gamez, gmez, gomez, gpmez
botello	botello (1)(1.0): botello
robha	robba, robha (2)(0.800000011920929): robba, robha
pizza	piza, pizza (2)(0.800000011920929): piza, pizza
mercgan	merchan (4)(0.8571428656578064): marchan, mercan, mercgan, merchan
machete	machete (1)(1.0): machete
quemba	quimbay (5)(0.7946428656578064): quemba, quimbay, quimbaya, quimbayo, qumba
bonet	bonet (1)(1.0): bonet
mira	mira (1)(1.0): mira
slamanca	salamanca (10)(0.8083333224058151): salamamca, salamanaca, salamanca, salamca, salamnca, salanmanca, salmanca, samaca, slamanca, solamanca
guerrreo	guerrero (10)(0.8379629651705424): gerrero, guerero, guerreo, guerrero, guerrreo, guerrrero, guerrro, gurerrero, gurrero, guyerrero
corchuelo	corchuelo (1)(1.0): corchuelo
tocora	tacora, ticora, tocora (3)(0.8333333134651184): tacora, ticora, tocora
galvan	galan (4)(0.7738095223903656): galan, galana, galeano, galvan
nuñez	nunez, nuñez (2)(0.800000011920929): nunez, nuñez
coterio	coteiro, coterio (2)(0.7142857313156128): coteiro, coterio
sanguña	sanguña, zanguña (2)(0.8571428656578064): sanguña, zanguña
teatino	patino (3)(0.8452380895614624): latino, paatino, patino
delgado	salgado (5)(0.8154761989911398): delgado, gelgado, salgadao, salgado, zalgado
montilla	montilla (3)(0.875): mantilla, montilla, montilva
castillo	castillo (8)(0.854629635810852): cantillo, casatillo, castillo, castllo, castrillo, castrillon, catillo, cstillo
albañil	albanil, albañil (2)(0.8571428656578064): albanil, albañil
larrotta	larrota (6)(0.8154761989911398): larota, larotta, larrota, larrotta, larrotya, lorrota
buenaventura	buenaventura (1)(1.0): buenaventura
piazaz	piazas, piazaz, plazas, plazaz (4)(0.7777777512868246): piazas, piazaz, plazas, plazaz
cabana	cabanzo (4)(0.7857142984867096): cabana, cabanzo, cavanzo, gabanzo
lucas	lucas (1)(1.0): lucas
delgadilla	delgadilla, delgadillo (2)(0.8999999761581421): delgadilla, delgadillo
suecun	suecun, suescun (2)(0.8571428656578064): suecun, suescun
cañaveral	cañaveral (1)(1.0): cañaveral
balero	balero, calero (7)(0.8015873034795126): alero, balcero, balero, caldero, calero, talero, valero
cucanchon	cucanchon (3)(0.8333333432674408): canchon, cucachon, cucanchon
chavarriaga	chavarriaga (1)(1.0): chavarriaga
bejarano	bajarano, bejarano (2)(0.875): bajarano, bejarano
ramirz	ramirez (6)(0.8660714328289032): ramireez, ramires, ramirez, ramirz, rammirez, ramoirez
zapatero	zapatero (1)(1.0): zapatero
airias	arias (3)(0.8333333134651184): airias, arias, farias
avellneda	avellaneda (5)(0.8499999940395355): acellaneda, avalleneda, avellanada, avellaneda, avellneda
sarmrmiento	sarmiento (4)(0.7979798018932343): sarmeinto, sarmiento, sarmineto, sarmrmiento
zubiria	zubieta (3)(0.7857142984867096): subieta, zubieta, zubiria
gorraiz	gorrais, gorraiz (2)(0.8571428656578064): gorrais, gorraiz
brango	brango (5)(0.7738095223903656): arango, brando, brango, durango, urango
larios	largos, larios (2)(0.8333333134651184): largos, larios
pirataque	pirabaque (6)(0.8222222328186035): pirabague, pirabaguen, pirabaque, piraneque, pirataque, pirateque
castrillo	castillo (10)(0.828472226858139): cantillo, carillo, carrillo, casatillo, castillo, castllo, castrillo, castrillon, catillo, cstillo
panqueva	banquera (4)(0.8125): banquera, baquera, panqueba, panqueva
abello	abello (3)(0.8452380895614624): abella, abello, rabello
bracaldo	bracaldo (4)(0.8194444477558136): baracaldo, bracaldo, brigaldo, brijaldo
guchubay	guchubay (1)(1.0): guchubay
yanquen	yanquen (3)(0.7142857313156128): vaquen, yanken, yanquen
medida	medidna (6)(0.7857142984867096): medida, medidna, mediina, medina, meidna, merida
solamanca	salamanca (9)(0.8555555542310079): salamamca, salamanaca, salamanca, salamca, salamnca, salanmanca, salmanca, slamanca, solamanca
ontreras	contreras (7)(0.8222222328186035): canteras, conteras, contrerar, contreras, contrerisa, contrras, ontreras
charry	charri (4)(0.8015873034795126): chaprro, charri, charria, charry
zalgado	salgado (5)(0.8154761989911398): delgado, gelgado, salgadao, salgado, zalgado
toscano	lescano, toscano (2)(0.7142857313156128): lescano, toscano
cipacon	cipacon (1)(1.0): cipacon
awazacko	awazacko (1)(1.0): awazacko
cubague	ubaque (5)(0.7678571343421936): cubague, cubaque, ibague, ibaque, ubaque
cachay	cachay (1)(1.0): cachay
mazorca	matorga, mayorga (4)(0.7321428656578064): mallorga, matorga, mayorga, mazorca
hobaica	hobaica (1)(1.0): hobaica
savedra	saavedra (3)(0.8819444477558136): saaavedra, saavedra, savedra
ardila	arcila (6)(0.7886904776096344): archila, archilla, arcila, arcilia, arddila, ardila
lugo	lugo (1)(1.0): lugo
pelaez	pelaez (1)(1.0): pelaez
vrgas	vargas (6)(0.7857142686843872): vagas, vargas, vasrgas, vcargas, vragas, vrgas
comesaquira	comesaquira, comezaquira (2)(0.9090908765792847): comesaquira, comezaquira
guzman	guzman (4)(0.8452380895614624): duzman, guaman, guzaman, guzman
guerreo	guerrero (9)(0.8379629651705424): guerero, guerreo, guerrero, guerrreo, guerrrero, guerrro, gurerrero, gurrero, guyerrero
ussa	usma, ussa (2)(0.75): usma, ussa
buitron	buitrgo, buitron (2)(0.7142857313156128): buitrgo, buitron
almonacid	almonacid (1)(1.0): almonacid
plaza	plaza (4)(0.8166666626930237): plata, plaza, plazas, plazaz
castel	castell (4)(0.7830687959988912): castel, castell, castellon, castllo
trillos	trillos (1)(1.0): trillos
tamasco	tamasco, tapasco (3)(0.7142857313156128): tabaco, tamasco, tapasco
carcamo	carcamo (1)(1.0): carcamo
villabona	villabona, villazon (2)(0.7777777910232544): villabona, villazon
avella	avella (3)(0.8452380895614624): abella, avella, avellla
jara	jara, lara, yara (3)(0.75): jara, lara, yara
apraez	apraez (1)(1.0): apraez
rodrigiuez	rodriguez (27)(0.8555555542310079): odriguez, redriguez, ridriguez, robriguez, rodiguez, rodirguez, rodlriguez, rodrdiguez, rodreiguez, rodrgiuez, rodrguez, rodrifguez, rodrigez, rodrigguez, rodrigiuez, rodriguaz, rodrigue, rodriguez, rodriguiez, rodrigurez, rodriguuez, rodriuez, rodruiguez, rofdriguez, rogriguez, ropdriguez, srodriguez
plazaz	plazas, plazaz (5)(0.7499999701976776): piazas, piazaz, plaza, plazas, plazaz
ucros	ucros (3)(0.8333333134651184): hucros, ucros, ucross
amortegui	amortegui (1)(1.0): amortegui
cuchivage	cuchivague (6)(0.8696969548861185): cuchibague, cuchimaque, cuchivage, cuchivague, cuchivaguen, cuchivaque
naizaque	naizaque (1)(1.0): naizaque
arenales	aranzales, arenales (2)(0.7777777910232544): aranzales, arenales
carabali	carabali, caraballo (2)(0.7777777910232544): carabali, caraballo
motoa	motoa (5)(0.7825396855672201): montoa, montoya, mota, motoa, motta
surez	suarez (9)(0.7857142686843872): sauarez, saurez, suaez, suarez, suartez, suerez, suraez, surez, suzarez
segua	segua (1)(1.0): segua
hortua	hortua, hurtua (2)(0.8333333134651184): hortua, hurtua
izquierdo	izquierdo (1)(1.0): izquierdo
chantano	catano, chantano (2)(0.75): catano, chantano
ramireez	ramirez (6)(0.8660714328289032): ramireez, ramires, ramirez, ramirz, rammirez, ramoirez
hucros	ucros (3)(0.8333333134651184): hucros, ucros, ucross
pacacira	pacacira, pacasira (2)(0.875): pacacira, pacasira
basayo	basallo, basayo (2)(0.7142857313156128): basallo, basayo
tapias	tapia (3)(0.8166666626930237): tapia, tapias, topia
ppreciado	preciado (4)(0.8819444477558136): ppreciado, prciado, preciado, presiado
enrique	manrique (7)(0.7611111044883728): enrique, enriquez, henriquez, manrique, manrrique, marique, mnarique
cocuy	cocuy (1)(1.0): cocuy
vasco	vasco (1)(1.0): vasco
campos	campo (3)(0.8333333134651184): campo, campos, ocampo
samudio	zamudio (3)(0.8571428656578064): samudio, zamidio, zamudio
valencia	valencia (5)(0.8125): alencia, palencia, valandia, valencia, valentin
urbina	urbina, urbino (2)(0.8333333134651184): urbina, urbino
paramo	paramo (4)(0.7738095223903656): carcamo, parado, paramo, parrado
angel	angel (3)(0.8166666626930237): algel, angel, rangel
jauregui	jauregui (1)(1.0): jauregui
nomezque	nomesque (4)(0.8125): fomeque, nomesque, nomesqui, nomezque
boboya	boboya, bogoya (2)(0.8333333134651184): boboya, bogoya
huezo	huesa, hueso, hueza, huezo (4)(0.7333333492279053): huesa, hueso, hueza, huezo
muñeton	muñeton (1)(1.0): muñeton
barrato	barrato (1)(1.0): barrato
mora	mora (1)(1.0): mora
tigreros	terreros, tigreros (2)(0.75): terreros, tigreros
mujica	mujica (5)(0.8333333134651184): majica, mijica, mojica, mujica, murica
virviescas	virviescas (1)(1.0): virviescas
ruales	reales, ruales (3)(0.7142857313156128): reales, rosales, ruales
leyvan	leyva, leyvae, leyvan (3)(0.8333333134651184): leyva, leyvae, leyvan
correjidor	corredor (7)(0.854629635810852): coredor, corrdedor, corredo, corredop, corredor, corregidor, correjidor
carrera	carrera (1)(1.0): carrera
vija	vija, viña (2)(0.75): vija, viña
churque	chorque, churque (2)(0.8571428656578064): chorque, churque
cipamoha	cipamocha (4)(0.8944444358348846): cipamocha, cipamoha, cipamopcha, zipamocha
pertuz	pertuz (1)(1.0): pertuz
bustos	bustos (1)(1.0): bustos
cumbe	cumbe (1)(1.0): cumbe
lancheros	landeros (4)(0.8263888955116272): lanceros, lancheros, landero, landeros
mirando	mirando (1)(1.0): mirando
benevides	benavides (9)(0.8333333432674408): banavides, banavidez, benabides, benavide, benavides, benavidez, benevides, benvides, venavides
neusan	neusan (4)(0.7738095223903656): nausan, naussan, neusa, neusan
piñedez	piñedez (1)(1.0): piñedez
tomero	romero (6)(0.7499999701976776): rodero, romero, rosero, royero, tolero, tomero
silva	silva (4)(0.8166666626930237): selva, silva, silvan, silvia
loaiza	loiza (5)(0.8166666626930237): laoiza, loaiza, loiaza, loiza, oiza
yomayuza	yomayusa (5)(0.75): mayuza, yamayusa, yemayusa, yomayusa, yomayuza
arbelaez	arbelaez (1)(1.0): arbelaez
neita	neita, neiva, neiza (3)(0.800000011920929): neita, neiva, neiza
molano	molano (6)(0.8333333134651184): molamo, molano, morano, moyano, olano, solano
chisaba	chipata, chivata (2)(0.8571428656578064): chipata, chivata
abad	abad (1)(1.0): abad
vilalte	vilalte, vilate (2)(0.8571428656578064): vilalte, vilate
mera	mera (1)(1.0): mera
reinoso	raigoso (4)(0.7857142984867096): raigosa, raigoso, raigozo, reinoso
martinez	martinez (13)(0.8819444477558136): maertinez, marinez, maritinez, martinaz, martines, martinexz, martinez, martineza, martinezs, martiniez, martiñez, matinez, mmartinez
cuesvas	cuesvas (3)(0.8571428656578064): cuestas, cuesvas, cuevas
nariño	mariño, nariño (2)(0.8333333134651184): mariño, nariño
ancin	ancin, cancino (2)(0.7142857313156128): ancin, cancino
sossa	bossa, lossa, nossa, ossa, sossa (5)(0.800000011920929): bossa, lossa, nossa, ossa, sossa
cusguen	cusguen (3)(0.8571428656578064): cusguen, cusquen, kusguen
caranton	caranton, carantonio (2)(0.800000011920929): caranton, carantonio
mijia	majica, mijica (7)(0.7499999701976776): majia, majica, mejia, mijia, mijica, mojica, mujica
oñate	onate, oñate (2)(0.800000011920929): onate, oñate
isaguita	isaquita (3)(0.875): isaguita, isaquita, izaquita
lumus	lamus, lemus, lumus (3)(0.800000011920929): lamus, lemus, lumus
acevdo	acevedo (6)(0.8571428656578064): acevado, acevdo, acevedi, acevedo, aevedo, avevedo
santiago	santiago (1)(1.0): santiago
carvalja	carvajal (8)(0.7847222238779068): carvaja, carvajal, carvajas, carvalja, carvanza, carvasjal, carvjal, cavajal
gonzale	gonzalez (12)(0.8379629651705424): ganzalez, gomzalez, gonazalez, gonzale, gonzalea, gonzales, gonzalez, gonzalo, gonzalñez, gonzaqlez, gonzxalez, gozalez
taborda	tabora, taborda (2)(0.8571428656578064): tabora, taborda
henriquez	enriquez (3)(0.8819444477558136): enrique, enriquez, henriquez
chaprro	chaparro (8)(0.8379629651705424): cahaparro, chamorro, chaparo, chaparro, chaparroa, chaparrro, chaprro, chavarro
botia	botia (4)(0.8333333134651184): bothia, botia, botina, bottia
